


                                                                 Optimization Report
                                                               EA31337-Lite-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.06.02 21:01 - 2019.12.30 23:59 (2019.06.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
     Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
        8 -2369.99         3055          0.74           -0.78    2409.69       2.41  AD_TrailingProfitMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
       43 -2371.61         3446          0.73           -0.69    2413.21       2.41  AD_TrailingProfitMethod=25; MaxOrders=0; MaxOrdersPerType=0;
       34 -2422.45         3142          0.73           -0.77    2466.05       2.47 AD_TrailingProfitMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
       15 -2426.98         3032          0.73           -0.80    2466.68       2.47   AD_TrailingProfitMethod=9; MaxOrders=0; MaxOrdersPerType=0;
       17 -2435.81         3178          0.73           -0.77    2475.51       2.48  AD_TrailingProfitMethod=10; MaxOrders=0; MaxOrdersPerType=0;
        2 -2435.75         3010          0.73           -0.81    2475.45       2.48  AD_TrailingProfitMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
       40 -2439.87         3013          0.74           -0.81    2479.57       2.48 AD_TrailingProfitMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
       39 -2442.58         3015          0.74           -0.81    2482.28       2.48  AD_TrailingProfitMethod=21; MaxOrders=0; MaxOrdersPerType=0;
       36 -2449.48         3008          0.73           -0.81    2489.18       2.49 AD_TrailingProfitMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
       20 -2453.28         3010          0.73           -0.82    2492.98       2.49 AD_TrailingProfitMethod=-11; MaxOrders=0; MaxOrdersPerType=0;
       27 -2453.08         3014          0.73           -0.81    2492.78       2.49  AD_TrailingProfitMethod=15; MaxOrders=0; MaxOrdersPerType=0;
        1 -2454.96         3015          0.73           -0.81    2494.66       2.49   AD_TrailingProfitMethod=1; MaxOrders=0; MaxOrdersPerType=0;
       28 -2454.38         3005          0.73           -0.82    2494.08       2.49 AD_TrailingProfitMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
       35 -2455.78         3014          0.73           -0.81    2495.48       2.50  AD_TrailingProfitMethod=19; MaxOrders=0; MaxOrdersPerType=0;
