


                                                                 Optimization Report
                                                               EA31337-Lite-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.01.01 23:42 - 2019.12.30 23:59 (2019.01.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
      Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
         3  -307.39          561          0.90           -0.55     737.31       0.74   AD_TrailingStopMethod=2; MaxOrders=5; MaxOrdersPerType=2;
         4  -307.39          561          0.90           -0.55     737.31       0.74  AD_TrailingStopMethod=-2; MaxOrders=5; MaxOrdersPerType=2;
        47  -437.44          577          0.86           -0.76    1023.08       1.02  AD_TrailingStopMethod=24; MaxOrders=5; MaxOrdersPerType=2;
        48  -437.44          577          0.86           -0.76    1023.08       1.02 AD_TrailingStopMethod=-24; MaxOrders=5; MaxOrdersPerType=2;
        39  -584.52          537          0.83           -1.09     968.40       0.97  AD_TrailingStopMethod=20; MaxOrders=5; MaxOrdersPerType=2;
        40  -584.52          537          0.83           -1.09     968.40       0.97 AD_TrailingStopMethod=-20; MaxOrders=5; MaxOrdersPerType=2;
         5  -631.19          611          0.76           -1.03     889.56       0.89   AD_TrailingStopMethod=3; MaxOrders=5; MaxOrdersPerType=2;
         6  -631.19          611          0.76           -1.03     889.56       0.89  AD_TrailingStopMethod=-3; MaxOrders=5; MaxOrdersPerType=2;
        27  -669.70          537          0.81           -1.25    1103.55       1.10  AD_TrailingStopMethod=14; MaxOrders=5; MaxOrdersPerType=2;
        28  -669.70          537          0.81           -1.25    1103.55       1.10 AD_TrailingStopMethod=-14; MaxOrders=5; MaxOrdersPerType=2;
        25  -897.29          550          0.73           -1.63    1297.47       1.29  AD_TrailingStopMethod=13; MaxOrders=5; MaxOrdersPerType=2;
