


                                                                 Optimization Report
                                                               EA31337-Lite-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.06.02 21:01 - 2019.12.30 23:59 (2019.06.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
    Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
      20  -456.98         1189          0.94           -0.38     982.66       0.98 CCI_TrailingProfitMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
      48  -567.19         1266          0.91           -0.45     828.85       0.83 CCI_TrailingProfitMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
      26  -609.98         1183          0.91           -0.52    1026.16       1.03 CCI_TrailingProfitMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
      17  -617.56         1068          0.92           -0.58    1114.90       1.11   CCI_TrailingProfitMethod=9; MaxOrders=0; MaxOrdersPerType=0;
      18  -617.56         1068          0.92           -0.58    1114.90       1.11  CCI_TrailingProfitMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
      12  -617.37         1071          0.92           -0.58    1093.10       1.09  CCI_TrailingProfitMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
      36  -655.10         1174          0.91           -0.56     986.44       0.99 CCI_TrailingProfitMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
      25  -664.90         1165          0.91           -0.57    1002.66       1.00  CCI_TrailingProfitMethod=13; MaxOrders=0; MaxOrdersPerType=0;
      11  -667.71         1072          0.91           -0.62    1153.60       1.15   CCI_TrailingProfitMethod=6; MaxOrders=0; MaxOrdersPerType=0;
      19  -674.16         1167          0.91           -0.58    1019.56       1.02  CCI_TrailingProfitMethod=10; MaxOrders=0; MaxOrdersPerType=0;
      14  -675.70         1065          0.91           -0.63    1166.10       1.17  CCI_TrailingProfitMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
      37  -676.81         1055          0.91           -0.64    1225.30       1.22  CCI_TrailingProfitMethod=19; MaxOrders=0; MaxOrdersPerType=0;
      50  -714.40         1163          0.90           -0.61    1056.33       1.06 CCI_TrailingProfitMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
      38  -715.71         1055          0.90           -0.68    1220.00       1.22 CCI_TrailingProfitMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
      29  -717.34         1058          0.90           -0.68    1225.30       1.22  CCI_TrailingProfitMethod=15; MaxOrders=0; MaxOrdersPerType=0;
      42  -720.61         1054          0.90           -0.68    1252.88       1.25 CCI_TrailingProfitMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
      21  -720.04         1058          0.90           -0.68    1226.30       1.23  CCI_TrailingProfitMethod=11; MaxOrders=0; MaxOrdersPerType=0;
      44  -731.58         1057          0.90           -0.69    1252.58       1.25 CCI_TrailingProfitMethod=-22; MaxOrders=0; MaxOrdersPerType=0;
      22  -735.84         1058          0.90           -0.70    1222.60       1.22 CCI_TrailingProfitMethod=-11; MaxOrders=0; MaxOrdersPerType=0;
      30  -735.44         1058          0.90           -0.70    1223.30       1.22 CCI_TrailingProfitMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
      31  -737.04         1060          0.90           -0.70    1226.30       1.23  CCI_TrailingProfitMethod=16; MaxOrders=0; MaxOrdersPerType=0;
      13  -739.90         1065          0.90           -0.69    1225.40       1.22   CCI_TrailingProfitMethod=7; MaxOrders=0; MaxOrdersPerType=0;
       1  -744.02         1058          0.90           -0.70    1258.08       1.26   CCI_TrailingProfitMethod=1; MaxOrders=0; MaxOrdersPerType=0;
       2  -744.02         1058          0.90           -0.70    1258.08       1.26  CCI_TrailingProfitMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
      43  -745.08         1059          0.90           -0.70    1257.88       1.26  CCI_TrailingProfitMethod=22; MaxOrders=0; MaxOrdersPerType=0;
      41  -754.92         1059          0.90           -0.71    1257.38       1.26  CCI_TrailingProfitMethod=21; MaxOrders=0; MaxOrdersPerType=0;
      32  -754.34         1060          0.90           -0.71    1221.80       1.22 CCI_TrailingProfitMethod=-16; MaxOrders=0; MaxOrdersPerType=0;
      49  -793.69         1147          0.89           -0.69    1144.75       1.14  CCI_TrailingProfitMethod=25; MaxOrders=0; MaxOrdersPerType=0;
