


                                                                 Optimization Report
                                                               EA31337-Lite-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.06.02 21:01 - 2019.12.30 23:59 (2019.06.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
  Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
    24  -24.57          981          0.99           -0.03     451.25       0.45 DeMarker_TrailingProfitMethod=-12; MaxOrders=5; MaxOrdersPerType=2;
     8  -26.36         1004          0.99           -0.03     316.45       0.32  DeMarker_TrailingProfitMethod=-4; MaxOrders=5; MaxOrdersPerType=2;
    10  -38.13          978          0.99           -0.04     329.18       0.33  DeMarker_TrailingProfitMethod=-5; MaxOrders=5; MaxOrdersPerType=2;
    13  -55.05          968          0.98           -0.06     505.32       0.50   DeMarker_TrailingProfitMethod=7; MaxOrders=5; MaxOrdersPerType=2;
    41  -72.62          965          0.98           -0.08     451.52       0.45  DeMarker_TrailingProfitMethod=21; MaxOrders=5; MaxOrdersPerType=2;
    43  -79.22          965          0.97           -0.08     457.72       0.46  DeMarker_TrailingProfitMethod=22; MaxOrders=5; MaxOrdersPerType=2;
    21 -115.42          963          0.96           -0.12     459.12       0.46  DeMarker_TrailingProfitMethod=11; MaxOrders=5; MaxOrdersPerType=2;
    37 -150.32          960          0.95           -0.16     476.52       0.48  DeMarker_TrailingProfitMethod=19; MaxOrders=5; MaxOrdersPerType=2;
    45 -168.70         1041          0.94           -0.16     476.32       0.48  DeMarker_TrailingProfitMethod=23; MaxOrders=5; MaxOrdersPerType=2;
     1 -171.22          977          0.94           -0.18     493.85       0.49   DeMarker_TrailingProfitMethod=1; MaxOrders=5; MaxOrdersPerType=2;
    12 -176.95          975          0.94           -0.18     532.72       0.53  DeMarker_TrailingProfitMethod=-6; MaxOrders=5; MaxOrdersPerType=2;
    22 -195.29          962          0.93           -0.20     545.72       0.55 DeMarker_TrailingProfitMethod=-11; MaxOrders=5; MaxOrdersPerType=2;
    42 -201.15          967          0.93           -0.21     548.82       0.55 DeMarker_TrailingProfitMethod=-21; MaxOrders=5; MaxOrdersPerType=2;
    46 -214.23         1039          0.92           -0.21     466.13       0.47 DeMarker_TrailingProfitMethod=-23; MaxOrders=5; MaxOrdersPerType=2;
    29 -214.22          961          0.93           -0.22     457.62       0.46  DeMarker_TrailingProfitMethod=15; MaxOrders=5; MaxOrdersPerType=2;
    34 -215.70          989          0.92           -0.22     450.05       0.45 DeMarker_TrailingProfitMethod=-17; MaxOrders=5; MaxOrdersPerType=2;
    40 -216.63          977          0.93           -0.22     445.09       0.45 DeMarker_TrailingProfitMethod=-20; MaxOrders=5; MaxOrdersPerType=2;
    44 -216.25          968          0.93           -0.22     552.82       0.55 DeMarker_TrailingProfitMethod=-22; MaxOrders=5; MaxOrdersPerType=2;
