


                                                                 Optimization Report
                                                               EA31337-Lite-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.06.02 21:01 - 2019.12.30 23:59 (2019.06.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
   Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
     27   221.66          582          1.07            0.38     405.79       0.40  DeMarker_TrailingStopMethod=14; MaxOrders=5; MaxOrdersPerType=2;
     28   221.66          582          1.07            0.38     405.79       0.40 DeMarker_TrailingStopMethod=-14; MaxOrders=5; MaxOrdersPerType=2;
     23   149.32          579          1.05            0.26     458.69       0.46  DeMarker_TrailingStopMethod=12; MaxOrders=5; MaxOrdersPerType=2;
     24   149.32          579          1.05            0.26     458.69       0.46 DeMarker_TrailingStopMethod=-12; MaxOrders=5; MaxOrdersPerType=2;
      7   129.23          622          1.04            0.21     372.33       0.37   DeMarker_TrailingStopMethod=4; MaxOrders=5; MaxOrdersPerType=2;
      8   129.23          622          1.04            0.21     372.33       0.37  DeMarker_TrailingStopMethod=-4; MaxOrders=5; MaxOrdersPerType=2;
     39   114.45          556          1.03            0.21     414.70       0.41  DeMarker_TrailingStopMethod=20; MaxOrders=5; MaxOrdersPerType=2;
     40   114.45          556          1.03            0.21     414.70       0.41 DeMarker_TrailingStopMethod=-20; MaxOrders=5; MaxOrdersPerType=2;
     19    87.27          576          1.03            0.15     452.26       0.45  DeMarker_TrailingStopMethod=10; MaxOrders=5; MaxOrdersPerType=2;
     20    87.27          576          1.03            0.15     452.26       0.45 DeMarker_TrailingStopMethod=-10; MaxOrders=5; MaxOrdersPerType=2;
     15    38.55          524          1.01            0.07     442.83       0.44   DeMarker_TrailingStopMethod=8; MaxOrders=5; MaxOrdersPerType=2;
     16    38.55          524          1.01            0.07     442.83       0.44  DeMarker_TrailingStopMethod=-8; MaxOrders=5; MaxOrdersPerType=2;
     25    -2.62          576          1.00           -0.00     438.60       0.44  DeMarker_TrailingStopMethod=13; MaxOrders=5; MaxOrdersPerType=2;
     26    -2.62          576          1.00           -0.00     438.60       0.44 DeMarker_TrailingStopMethod=-13; MaxOrders=5; MaxOrdersPerType=2;
     13   -12.11          513          1.00           -0.02     545.93       0.54   DeMarker_TrailingStopMethod=7; MaxOrders=5; MaxOrdersPerType=2;
     14   -12.11          513          1.00           -0.02     545.93       0.54  DeMarker_TrailingStopMethod=-7; MaxOrders=5; MaxOrdersPerType=2;
     35   -32.08          572          0.99           -0.06     510.37       0.51  DeMarker_TrailingStopMethod=18; MaxOrders=5; MaxOrdersPerType=2;
