


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.078
                                                                     (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.12.30 23:30 (2018.01.01 - 2018.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
       68 -16.30            4          0.00           -4.08      37.10       0.37  Envelopes30_SignalMethod=127; MaxOrders=0; MaxOrdersPerType=0;
       60 -16.30            4          0.00           -4.08      37.10       0.37 Envelopes30_SignalMethod=-100; MaxOrders=0; MaxOrdersPerType=0;
       56 -16.30            4          0.00           -4.08      37.10       0.37   Envelopes30_SignalMethod=57; MaxOrders=0; MaxOrdersPerType=0;
       54 -16.30            4          0.00           -4.08      37.10       0.37  Envelopes30_SignalMethod=126; MaxOrders=0; MaxOrdersPerType=0;
       50 -16.30            4          0.00           -4.08      37.10       0.37  Envelopes30_SignalMethod=-16; MaxOrders=0; MaxOrdersPerType=0;
       46 -16.30            4          0.00           -4.08      37.10       0.37  Envelopes30_SignalMethod=120; MaxOrders=0; MaxOrdersPerType=0;
       41 -16.30            4          0.00           -4.08      37.10       0.37  Envelopes30_SignalMethod=121; MaxOrders=0; MaxOrdersPerType=0;
       37 -16.30            4          0.00           -4.08      37.10       0.37 Envelopes30_SignalMethod=-110; MaxOrders=0; MaxOrdersPerType=0;
       36 -16.30            4          0.00           -4.08      37.10       0.37  Envelopes30_SignalMethod=113; MaxOrders=0; MaxOrdersPerType=0;
       34 -16.30            4          0.00           -4.08      37.10       0.37  Envelopes30_SignalMethod=-99; MaxOrders=0; MaxOrdersPerType=0;
       33 -16.30            4          0.00           -4.08      37.10       0.37  Envelopes30_SignalMethod=-79; MaxOrders=0; MaxOrdersPerType=0;
       31 -16.30            4          0.00           -4.08      37.10       0.37  Envelopes30_SignalMethod=125; MaxOrders=0; MaxOrdersPerType=0;
