


                                                                 Optimization Report
                                                               EA31337-Lite-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.06.02 21:01 - 2019.12.30 23:59 (2019.06.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
  Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
    22   62.08          349          1.06            0.18     230.41       0.23 Envelopes_TrailingProfitMethod=-11; MaxOrders=0; MaxOrdersPerType=0;
     2   61.78          348          1.06            0.18     231.11       0.23  Envelopes_TrailingProfitMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
    49   59.08          343          1.06            0.17     220.81       0.22  Envelopes_TrailingProfitMethod=25; MaxOrders=0; MaxOrdersPerType=0;
    13   54.68          343          1.06            0.16     228.01       0.23   Envelopes_TrailingProfitMethod=7; MaxOrders=0; MaxOrdersPerType=0;
    14   54.78          348          1.06            0.16     228.01       0.23  Envelopes_TrailingProfitMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
    30   53.18          351          1.05            0.15     231.21       0.23 Envelopes_TrailingProfitMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
    21   53.58          345          1.05            0.16     229.51       0.23  Envelopes_TrailingProfitMethod=11; MaxOrders=0; MaxOrdersPerType=0;
    43   53.98          345          1.05            0.16     229.51       0.23  Envelopes_TrailingProfitMethod=22; MaxOrders=0; MaxOrdersPerType=0;
    38   52.08          351          1.05            0.15     232.41       0.23 Envelopes_TrailingProfitMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
     9   52.38          347          1.05            0.15     233.01       0.23   Envelopes_TrailingProfitMethod=5; MaxOrders=0; MaxOrdersPerType=0;
    29   52.58          345          1.05            0.15     230.21       0.23  Envelopes_TrailingProfitMethod=15; MaxOrders=0; MaxOrdersPerType=0;
