


                                                                 Optimization Report
                                                               EA31337-Lite-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.06.02 21:01 - 2019.12.30 23:59 (2019.06.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
    Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
      31  -146.82          224          0.94           -0.66     440.42       0.44  Force_TrailingStopMethod=16; MaxOrders=5; MaxOrdersPerType=2;
      32  -146.82          224          0.94           -0.66     440.42       0.44 Force_TrailingStopMethod=-16; MaxOrders=5; MaxOrdersPerType=2;
      29  -147.52          224          0.94           -0.66     442.42       0.44  Force_TrailingStopMethod=15; MaxOrders=5; MaxOrdersPerType=2;
      30  -147.52          224          0.94           -0.66     442.42       0.44 Force_TrailingStopMethod=-15; MaxOrders=5; MaxOrdersPerType=2;
      21  -151.43          224          0.94           -0.68     442.32       0.44  Force_TrailingStopMethod=11; MaxOrders=5; MaxOrdersPerType=2;
      22  -151.43          224          0.94           -0.68     442.32       0.44 Force_TrailingStopMethod=-11; MaxOrders=5; MaxOrdersPerType=2;
      37  -154.72          224          0.94           -0.69     448.22       0.45  Force_TrailingStopMethod=19; MaxOrders=5; MaxOrdersPerType=2;
      38  -154.72          224          0.94           -0.69     448.22       0.45 Force_TrailingStopMethod=-19; MaxOrders=5; MaxOrdersPerType=2;
      17  -202.12          220          0.92           -0.92     507.42       0.51   Force_TrailingStopMethod=9; MaxOrders=5; MaxOrdersPerType=2;
      18  -202.12          220          0.92           -0.92     507.42       0.51  Force_TrailingStopMethod=-9; MaxOrders=5; MaxOrdersPerType=2;
      13  -238.63          223          0.90           -1.07     525.63       0.53   Force_TrailingStopMethod=7; MaxOrders=5; MaxOrdersPerType=2;
      14  -238.63          223          0.90           -1.07     525.63       0.53  Force_TrailingStopMethod=-7; MaxOrders=5; MaxOrdersPerType=2;
      41  -260.13          224          0.90           -1.16     549.02       0.55  Force_TrailingStopMethod=21; MaxOrders=5; MaxOrdersPerType=2;
      42  -260.13          224          0.90           -1.16     549.02       0.55 Force_TrailingStopMethod=-21; MaxOrders=5; MaxOrdersPerType=2;
      43  -263.23          224          0.90           -1.18     552.64       0.55  Force_TrailingStopMethod=22; MaxOrders=5; MaxOrdersPerType=2;
      44  -263.23          224          0.90           -1.18     552.64       0.55 Force_TrailingStopMethod=-22; MaxOrders=5; MaxOrdersPerType=2;
       7  -267.95          260          0.90           -1.03     584.39       0.58   Force_TrailingStopMethod=4; MaxOrders=5; MaxOrdersPerType=2;
       8  -267.95          260          0.90           -1.03     584.39       0.58  Force_TrailingStopMethod=-4; MaxOrders=5; MaxOrdersPerType=2;
       9  -295.78          246          0.88           -1.20     622.62       0.62   Force_TrailingStopMethod=5; MaxOrders=5; MaxOrdersPerType=2;
      10  -295.78          246          0.88           -1.20     622.62       0.62  Force_TrailingStopMethod=-5; MaxOrders=5; MaxOrdersPerType=2;
      15  -305.13          238          0.88           -1.28     553.08       0.55   Force_TrailingStopMethod=8; MaxOrders=5; MaxOrdersPerType=2;
      16  -305.13          238          0.88           -1.28     553.08       0.55  Force_TrailingStopMethod=-8; MaxOrders=5; MaxOrdersPerType=2;
      39  -325.14          257          0.88           -1.27     589.61       0.59  Force_TrailingStopMethod=20; MaxOrders=5; MaxOrdersPerType=2;
      40  -325.14          257          0.88           -1.27     589.61       0.59 Force_TrailingStopMethod=-20; MaxOrders=5; MaxOrdersPerType=2;
      11  -354.43          227          0.86           -1.56     626.35       0.63   Force_TrailingStopMethod=6; MaxOrders=5; MaxOrdersPerType=2;
