


                                                                 Optimization Report
                                                               EA31337-Lite-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.06.02 21:01 - 2019.12.30 23:59 (2019.06.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
  Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
    29 -2897.72         2660          0.77           -1.09    3548.68       3.54  Fractals_TrailingProfitMethod=15; MaxOrders=0; MaxOrdersPerType=0;
    37 -2904.73         2666          0.77           -1.09    3542.39       3.53  Fractals_TrailingProfitMethod=19; MaxOrders=0; MaxOrdersPerType=0;
    31 -2910.12         2662          0.77           -1.09    3559.38       3.55  Fractals_TrailingProfitMethod=16; MaxOrders=0; MaxOrdersPerType=0;
    21 -2938.55         2670          0.77           -1.10    3595.21       3.58  Fractals_TrailingProfitMethod=11; MaxOrders=0; MaxOrdersPerType=0;
     1 -2956.44         2675          0.77           -1.11    3569.03       3.56   Fractals_TrailingProfitMethod=1; MaxOrders=0; MaxOrdersPerType=0;
    44 -2979.31         2878          0.76           -1.04    3471.81       3.46 Fractals_TrailingProfitMethod=-22; MaxOrders=0; MaxOrdersPerType=0;
    38 -2993.12         2917          0.76           -1.03    3547.62       3.54 Fractals_TrailingProfitMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
    49 -3015.91         3075          0.79           -0.98    3558.47       3.55  Fractals_TrailingProfitMethod=25; MaxOrders=0; MaxOrdersPerType=0;
    30 -3021.51         2914          0.76           -1.04    3532.91       3.52 Fractals_TrailingProfitMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
    50 -3076.52         3114          0.78           -0.99    3610.88       3.60 Fractals_TrailingProfitMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
    13 -3076.39         3135          0.79           -0.98    3651.88       3.64   Fractals_TrailingProfitMethod=7; MaxOrders=0; MaxOrdersPerType=0;
    42 -3092.21         2871          0.76           -1.08    3549.81       3.54 Fractals_TrailingProfitMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
