


                                                                 Optimization Report
                                                               EA31337-Lite-v1.080-dev
                                                                     (Build 1260)

                             Symbol          EURUSD (Euro vs US Dollar)
                             Period          1 Minute (M1) 2019.06.02 21:01 - 2019.12.30 23:59 (2019.06.01 - 2019.12.31)
                             Model           Every tick (the most precise method based on all available least timeframes)
                             Initial deposit 100000.00
                             Spread          10
                                                                 [Optimization Graph]
   Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
     15  -300.30         1211          0.97           -0.25    1997.19       1.97   Fractals_TrailingStopMethod=8; MaxOrders=0; MaxOrdersPerType=0;
     16  -300.30         1211          0.97           -0.25    1997.19       1.97  Fractals_TrailingStopMethod=-8; MaxOrders=0; MaxOrdersPerType=0;
     13  -512.70         1134          0.95           -0.45    2174.09       2.15   Fractals_TrailingStopMethod=7; MaxOrders=0; MaxOrdersPerType=0;
     14  -512.70         1134          0.95           -0.45    2174.09       2.15  Fractals_TrailingStopMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
     11  -528.30         1183          0.94           -0.45    2234.66       2.21   Fractals_TrailingStopMethod=6; MaxOrders=0; MaxOrdersPerType=0;
     12  -528.30         1183          0.94           -0.45    2234.66       2.21  Fractals_TrailingStopMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
      1  -574.90         1105          0.94           -0.52    2274.08       2.24   Fractals_TrailingStopMethod=1; MaxOrders=0; MaxOrdersPerType=0;
      2  -574.90         1105          0.94           -0.52    2274.08       2.24  Fractals_TrailingStopMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
     17  -574.90         1105          0.94           -0.52    2274.08       2.24   Fractals_TrailingStopMethod=9; MaxOrders=0; MaxOrdersPerType=0;
     18  -574.90         1105          0.94           -0.52    2274.08       2.24  Fractals_TrailingStopMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
     22  -574.90         1105          0.94           -0.52    2274.08       2.24 Fractals_TrailingStopMethod=-11; MaxOrders=0; MaxOrdersPerType=0;
     29  -574.90         1105          0.94           -0.52    2274.08       2.24  Fractals_TrailingStopMethod=15; MaxOrders=0; MaxOrdersPerType=0;
     30  -574.90         1105          0.94           -0.52    2274.08       2.24 Fractals_TrailingStopMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
     31  -574.90         1105          0.94           -0.52    2274.08       2.24  Fractals_TrailingStopMethod=16; MaxOrders=0; MaxOrdersPerType=0;
     32  -574.90         1105          0.94           -0.52    2274.08       2.24 Fractals_TrailingStopMethod=-16; MaxOrders=0; MaxOrdersPerType=0;
     37  -574.90         1105          0.94           -0.52    2274.08       2.24  Fractals_TrailingStopMethod=19; MaxOrders=0; MaxOrdersPerType=0;
     38  -574.90         1105          0.94           -0.52    2274.08       2.24 Fractals_TrailingStopMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
     41  -574.90         1105          0.94           -0.52    2274.08       2.24  Fractals_TrailingStopMethod=21; MaxOrders=0; MaxOrdersPerType=0;
     42  -574.90         1105          0.94           -0.52    2274.08       2.24 Fractals_TrailingStopMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
     43  -574.90         1105          0.94           -0.52    2274.08       2.24  Fractals_TrailingStopMethod=22; MaxOrders=0; MaxOrdersPerType=0;
     44  -574.90         1105          0.94           -0.52    2274.08       2.24 Fractals_TrailingStopMethod=-22; MaxOrders=0; MaxOrdersPerType=0;
     49  -574.90         1105          0.94           -0.52    2274.08       2.24  Fractals_TrailingStopMethod=25; MaxOrders=0; MaxOrdersPerType=0;
     50  -574.90         1105          0.94           -0.52    2274.08       2.24 Fractals_TrailingStopMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
     21  -587.77         1106          0.94           -0.53    2274.08       2.24  Fractals_TrailingStopMethod=11; MaxOrders=0; MaxOrdersPerType=0;
     45  -858.99         1694          0.91           -0.51    2325.34       2.30  Fractals_TrailingStopMethod=23; MaxOrders=0; MaxOrdersPerType=0;
     46  -858.99         1694          0.91           -0.51    2325.34       2.30 Fractals_TrailingStopMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
      9  -873.41         1602          0.91           -0.55    2432.00       2.40   Fractals_TrailingStopMethod=5; MaxOrders=0; MaxOrdersPerType=0;
     10  -873.41         1602          0.91           -0.55    2432.00       2.40  Fractals_TrailingStopMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
     35 -1084.43         1539          0.89           -0.70    2734.21       2.70  Fractals_TrailingStopMethod=18; MaxOrders=0; MaxOrdersPerType=0;
     36 -1084.43         1539          0.89           -0.70    2734.21       2.70 Fractals_TrailingStopMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
